Genome,Study,Country,Database,Continent
Raj116,Rask2010,India,Rask2010,Asia
IGH,Rask2010,India,Rask2010,Asia
PFCLIN,Rask2010,Ghana,Rask2010,Africa
HB3,Otto-2018,Honduras,PlasmoDB,S.America
IT4,Otto-2018,,PlasmoDB,Asia
3D7,Gardner-2002,,PlasmoDB,Africa
Dd2,Otto-2018,,PlasmoDB,Asia
9106,PF3K,Kenya,varDB,Africa
9626,PF3K,Kenya,varDB,Africa
8383,PF3K,Kenya,varDB,Africa
10668,PF3K,Kenya,varDB,Africa
11014,PF3K,Kenya,varDB,Africa
10936,PF3K,Kenya,varDB,Africa
10975,PF3K,Kenya,varDB,Africa
9605,PF3K,Kenya,varDB,Africa
6816,PF3K,Kenya,varDB,Africa
11019,PF3K,Kenya,varDB,Africa
9775,PF3K,Kenya,varDB,Africa
9215,PF3K,Kenya,varDB,Africa