genome,sequence_id,Country,Region
PT0184-C,PT0184-C.g4495,Malawi,EAF
PT0188-Cx,PT0188-Cx.g438,Malawi,EAF
PT0189-Cx,PT0189-Cx.g20,Malawi,EAF
PT0197-C,PT0197-C.g538,Malawi,EAF
PT0200-Cx,PT0200-Cx.g341,Malawi,EAF
PT0201-Cx,PT0201-Cx.g499,Malawi,EAF
PT0202-Cx,PT0202-Cx.g411,Malawi,EAF
PT0204-Cx,PT0204-Cx.g59,Malawi,EAF
PT0206-Cx,PT0206-Cx.g1000,Malawi,EAF
PT0207-C,PT0207-C.g540,Malawi,EAF
PT0209-C,PT0209-C.g2926,Malawi,EAF
PT0214-Cx,PT0214-Cx.g911,Malawi,EAF
PT0215-Cx,PT0215-Cx.g654,Malawi,EAF
PT0216-C,PT0216-C.g3108,Malawi,EAF
PT0217-Cx,PT0217-Cx.g967,Malawi,EAF
PT0218-Cx,PT0218-Cx.g62,Malawi,EAF
PT0219-C,PT0219-C.g191,Malawi,EAF
PT0220-C,PT0220-C.g169,Malawi,EAF
PT0220-C,PT0220-C.g299,Malawi,EAF
PT0222-C,PT0222-C.g204,Malawi,EAF
PT0224-Cx,PT0224-Cx.g156,Malawi,EAF
PT0225-C,PT0225-C.g148,Malawi,EAF
PT0226-Cx,PT0226-Cx.g96,Malawi,EAF
PT0230-Cx,PT0230-Cx.g245,Malawi,EAF
PT0234-Cx,PT0234-Cx.g204,Malawi,EAF
PT0237-Cx,PT0237-Cx.g28,Malawi,EAF
PT0240-C,PT0240-C.g309,Malawi,EAF
PT0241-C,PT0241-C.g580,Malawi,EAF
PT0241-C,PT0241-C.g582,Malawi,EAF
PT0242-Cx,PT0242-Cx.g167,Malawi,EAF
PT0248-Cx,PT0248-Cx.g309,Malawi,EAF
PT0249-Cx,PT0249-Cx.g335,Malawi,EAF
PT0253-Cx,PT0253-Cx.g86,Malawi,EAF
PT0255-Cx,PT0255-Cx.g240,Malawi,EAF
PT0256-C,PT0256-C.g195,Malawi,EAF
PT0258-Cx,PT0258-Cx.g24,Malawi,EAF
PT0261-Cx,PT0261-Cx.g33,Malawi,EAF
PT0262-C,PT0262-C.g161,Malawi,EAF
PT0263-C,PT0263-C.g310,Malawi,EAF
PT0264-C,PT0264-C.g40,Malawi,EAF
PT0266-C,PT0266-C.g985,Malawi,EAF
PT0269-C,PT0269-C.g227,Malawi,EAF
PT0270-C,PT0270-C.g230,Malawi,EAF
PT0277-C,PT0277-C.g422,Malawi,EAF
PT0277-C,PT0277-C.g494,Malawi,EAF
PT0280-C,PT0280-C.g7260,Malawi,EAF
PT0280-C,PT0280-C.g7370,Malawi,EAF
PT0286-C,PT0286-C.g6918,Malawi,EAF
PT0290-C,PT0290-C.g356,Malawi,EAF
PT0290-C,PT0290-C.g439,Malawi,EAF
PT0291-Cx,PT0291-Cx.g1411,Malawi,EAF
PT0294-C,PT0294-C.g1553,Malawi,EAF
PT0297-C,PT0297-C.g1187,Malawi,EAF
PT0297-C,PT0297-C.g1421,Malawi,EAF
PT0298-Cx,PT0298-Cx.g11835,Malawi,EAF
PT0303-Cx,PT0303-Cx.g1142,Malawi,EAF
PV0017-C,PV0017-C.g209,Viet Nam,ESEA
PV0017-C,PV0017-C.g259,Viet Nam,ESEA
PV0018-C,PV0018-C.g29,Viet Nam,ESEA
PV0018-C,PV0018-C.g859,Viet Nam,ESEA
PV0039-C,PV0039-C.g48,Viet Nam,ESEA
PV0249-Cx,PV0249-Cx.g184,Viet Nam,ESEA
PV0250-C,PV0250-C.g311,Viet Nam,ESEA
PV0252-C,PV0252-C.g447,Viet Nam,ESEA
PV0254-C,PV0254-C.g291,Viet Nam,ESEA
PV0259-C,PV0259-C.g181,Viet Nam,ESEA
PV0262-C,PV0262-C.g53,Viet Nam,ESEA
PV0264-C,PV0264-C.g403,Viet Nam,ESEA
PV0266-C,PV0266-C.g184,Viet Nam,ESEA
PV0267-C,PV0267-C.g234,Viet Nam,ESEA
PV0269-C,PV0269-C.g249,Viet Nam,ESEA
PV0270-C,PV0270-C.g296,Viet Nam,ESEA
PV0271-C,PV0271-C.g170,Viet Nam,ESEA
PV0274-C,PV0274-C.g325,Viet Nam,ESEA
PV0274-C,PV0274-C.g327,Viet Nam,ESEA
PV0279-C,PV0279-C.g215,Viet Nam,ESEA
PV0282-C,PV0282-C.g97,Viet Nam,ESEA
PV0292-C,PV0292-C.g175,Viet Nam,ESEA
PV0294-C,PV0294-C.g447,Viet Nam,ESEA
PV0296-C,PV0296-C.g122,Viet Nam,ESEA
PV0296-C,PV0296-C.g90,Viet Nam,ESEA
PV0297-C,PV0297-C.g135,Viet Nam,ESEA
PV0299-C,PV0299-C.g211,Viet Nam,ESEA
PV0305-C,PV0305-C.g109,Viet Nam,ESEA
PV0305-C,PV0305-C.g226,Viet Nam,ESEA
PV0306-C,PV0306-C.g85,Viet Nam,ESEA
PV0309-C,PV0309-C.g115,Viet Nam,ESEA
PV0310-C,PV0310-C.g812,Viet Nam,ESEA
PV0311-C,PV0311-C.g307,Viet Nam,ESEA
PV0312-C,PV0312-C.g152,Viet Nam,ESEA
PV0313-C,PV0313-C.g243,Viet Nam,ESEA
PV0318-C,PV0318-C.g187,Viet Nam,ESEA
PV0320-C,PV0320-C.g177,Viet Nam,ESEA
PV0322-C,PV0322-C.g92,Viet Nam,ESEA
PV0324-C,PV0324-C.g164,Viet Nam,ESEA
PV0325-C,PV0325-C.g220,Viet Nam,ESEA
PV0328-C,PV0328-C.g264,Viet Nam,ESEA
PV0330-C,PV0330-C.g165,Viet Nam,ESEA
PV0333-C,PV0333-C.g523,Viet Nam,ESEA
PV0335-C,PV0335-C.g113,Viet Nam,ESEA
PV0335-C,PV0335-C.g193,Viet Nam,ESEA
PV0336-C,PV0336-C.g348,Viet Nam,ESEA
PV0336-C,PV0336-C.g45,Viet Nam,ESEA
PV0337-C,PV0337-C.g568,Viet Nam,ESEA
PV0338-C,PV0338-C.g314,Viet Nam,ESEA
PV0339-C,PV0339-C.g346,Viet Nam,ESEA
PV0343-C,PV0343-C.g130,Viet Nam,ESEA
PV0345-C,PV0345-C.g73,Viet Nam,ESEA
PV0347-C,PV0347-C.g265,Viet Nam,ESEA
PV0355-C,PV0355-C.g84,Viet Nam,ESEA
PV0358-C,PV0358-C.g106,Viet Nam,ESEA
PV0358-C,PV0358-C.g340,Viet Nam,ESEA
PW0001-C,PW0001-C.g645,Colombia,SAM
PW0006-C,PW0006-C.g92,Colombia,SAM
PfKE02,PfKE02.g8,Kenya,EAF
PfKE04,PfKE04.g1171,Kenya,EAF
QC0145-C,QC0145-C.g52,Myanmar,WSEA
QC0165-C,QC0165-C.g174,Myanmar,WSEA
QC0166-C,QC0166-C.g128,Myanmar,WSEA
QC0168-C,QC0168-C.g207,Myanmar,WSEA
QC0169-C,QC0169-C.g160,Myanmar,WSEA
QC0170-C,QC0170-C.g65,Myanmar,WSEA
QC0171-C,QC0171-C.g182,Myanmar,WSEA
QC0172-C,QC0172-C.g29,Myanmar,WSEA
QC0173-C,QC0173-C.g40,Myanmar,WSEA
QC0175-C,QC0175-C.g732,Myanmar,WSEA
QC0177-C,QC0177-C.g179,Myanmar,WSEA
QC0180-C,QC0180-C.g866,Myanmar,WSEA
QC0181-Cx,QC0181-Cx.g447,Myanmar,WSEA
QC0182-C,QC0182-C.g349,Myanmar,WSEA
QC0183-C,QC0183-C.g248,Myanmar,WSEA
QC0187-C,QC0187-C.g357,Myanmar,WSEA
QC0188-C,QC0188-C.g176,Myanmar,WSEA
QC0188-C,QC0188-C.g201,Myanmar,WSEA
QC0189-C,QC0189-C.g363,Myanmar,WSEA
QC0193-C,QC0193-C.g83,Myanmar,WSEA
QC0195-C,QC0195-C.g235,Myanmar,WSEA
QC0196-C,QC0196-C.g260,Myanmar,WSEA
QC0201-C,QC0201-C.g217,Myanmar,WSEA
QC0204-C,QC0204-C.g175,Myanmar,WSEA
QC0205-C,QC0205-C.g54,Myanmar,WSEA
QC0206-C,QC0206-C.g319,Myanmar,WSEA
QC0206-C,QC0206-C.g379,Myanmar,WSEA
QC0207-C,QC0207-C.g379,Myanmar,WSEA
QC0209-C,QC0209-C.g1125,Myanmar,WSEA
QC0210-C,QC0210-C.g1156,Myanmar,WSEA
QC0210-C,QC0210-C.g377,Myanmar,WSEA
QC0211-C,QC0211-C.g361,Myanmar,WSEA
QC0213-C,QC0213-C.g179,Myanmar,WSEA
QC0214-C,QC0214-C.g231,Myanmar,WSEA
QC0215-C,QC0215-C.g303,Myanmar,WSEA
QC0219-C,QC0219-C.g620,Myanmar,WSEA
QC0221-C,QC0221-C.g964,Myanmar,WSEA
QC0222-C,QC0222-C.g200,Myanmar,WSEA
QC0223-C,QC0223-C.g17,Myanmar,WSEA
QC0230-C,QC0230-C.g100,Myanmar,WSEA
QC0232-C,QC0232-C.g238,Myanmar,WSEA
QC0233-C,QC0233-C.g1099,Myanmar,WSEA
QE0392-C,QE0392-C.g276,Laos,ESEA
QE0395-C,QE0395-C.g129,Laos,ESEA
QE0396-C,QE0396-C.g753,Laos,ESEA
QE0396-C,QE0396-C.g768,Laos,ESEA
QE0397-C,QE0397-C.g100,Laos,ESEA
QE0399-C,QE0399-C.g150,Laos,ESEA
QE0399-C,QE0399-C.g98,Laos,ESEA
QE0400-C,QE0400-C.g216,Laos,ESEA
QE0401-C,QE0401-C.g297,Laos,ESEA
QE0401-C,QE0401-C.g310,Laos,ESEA
QE0404-C,QE0404-C.g179,Laos,ESEA
QE0409-C,QE0409-C.g421,Laos,ESEA
QE0410-C,QE0410-C.g91,Laos,ESEA
QE0411-C,QE0411-C.g522,Laos,ESEA
QE0414-C,QE0414-C.g194,Laos,ESEA
QE0414-C,QE0414-C.g283,Laos,ESEA
QE0415-C,QE0415-C.g159,Laos,ESEA
QE0415-C,QE0415-C.g724,Laos,ESEA
QE0416-C,QE0416-C.g232,Laos,ESEA
QE0416-C,QE0416-C.g526,Laos,ESEA
QE0417-C,QE0417-C.g143,Laos,ESEA
QE0418-C,QE0418-C.g164,Laos,ESEA
QE0418-C,QE0418-C.g33,Laos,ESEA
QE0420-C,QE0420-C.g396,Laos,ESEA
QE0421-C,QE0421-C.g646,Laos,ESEA
QE0423-C,QE0423-C.g69,Laos,ESEA
QE0424-C,QE0424-C.g199,Laos,ESEA
QE0428-C,QE0428-C.g138,Laos,ESEA
QE0429-C,QE0429-C.g232,Laos,ESEA
QE0431-C,QE0431-C.g413,Laos,ESEA
QE0432-C,QE0432-C.g170,Laos,ESEA
QE0433-C,QE0433-C.g237,Laos,ESEA
QE0434-C,QE0434-C.g202,Laos,ESEA
QE0436-C,QE0436-C.g316,Laos,ESEA
QE0437-C,QE0437-C.g228,Laos,ESEA
QE0438-C,QE0438-C.g231,Laos,ESEA
QE0438-C,QE0438-C.g399,Laos,ESEA
QE0440-C,QE0440-C.g297,Laos,ESEA
QE0441-C,QE0441-C.g431,Laos,ESEA
QE0441-C,QE0441-C.g657,Laos,ESEA
QE0442-C,QE0442-C.g277,Laos,ESEA
QE0443-C,QE0443-C.g244,Laos,ESEA
QE0444-C,QE0444-C.g149,Laos,ESEA
QE0445-C,QE0445-C.g637,Laos,ESEA
QE0447-C,QE0447-C.g98,Laos,ESEA
QE0448-C,QE0448-C.g175,Laos,ESEA
QE0449-C,QE0449-C.g1036,Laos,ESEA
QE0454-C,QE0454-C.g134,Laos,ESEA
QE0455-C,QE0455-C.g312,Laos,ESEA
QE0456-C,QE0456-C.g174,Laos,ESEA
QE0460-C,QE0460-C.g270,Laos,ESEA
QE0461-C,QE0461-C.g204,Laos,ESEA
QE0461-C,QE0461-C.g232,Laos,ESEA
QE0463-C,QE0463-C.g233,Laos,ESEA
QE0464-C,QE0464-C.g335,Laos,ESEA
QE0465-C,QE0465-C.g118,Laos,ESEA
QE0465-C,QE0465-C.g99,Laos,ESEA
QE0466-C,QE0466-C.g73,Laos,ESEA
QE0467-C,QE0467-C.g160,Laos,ESEA
QE0468-C,QE0468-C.g256,Laos,ESEA
QE0470-C,QE0470-C.g152,Laos,ESEA
QE0471-C,QE0471-C.g294,Laos,ESEA
QE0472-C,QE0472-C.g979,Laos,ESEA
QE0474-C,QE0474-C.g42,Laos,ESEA
QE0478-C,QE0478-C.g186,Laos,ESEA
QE0479-C,QE0479-C.g667,Laos,ESEA
QE0483-C,QE0483-C.g51,Laos,ESEA
QG0007-C,QG0007-C.g63,Congo DR,CAF
QG0007-C,QG0007-C.g79,Congo DR,CAF
QG0008-C,QG0008-C.g562,Congo DR,CAF
QG0009-C,QG0009-C.g670,Congo DR,CAF
QG0009-C,QG0009-C.g918,Congo DR,CAF
QG0010-C,QG0010-C.g43,Congo DR,CAF
QG0011-C,QG0011-C.g572,Congo DR,CAF
QG0012-C,QG0012-C.g443,Congo DR,CAF
QG0013-C,QG0013-C.g357,Congo DR,CAF
QG0015-C,QG0015-C.g284,Congo DR,CAF
QG0019-C,QG0019-C.g572,Congo DR,CAF
QG0019-C,QG0019-C.g661,Congo DR,CAF
QG0024-C,QG0024-C.g189,Congo DR,CAF
QG0024-C,QG0024-C.g208,Congo DR,CAF
QG0025-C,QG0025-C.g4126,Congo DR,CAF
QG0026-C,QG0026-C.g3,Congo DR,CAF
QG0028-C,QG0028-C.g147,Congo DR,CAF
QG0028-C,QG0028-C.g149,Congo DR,CAF
QG0029-C,QG0029-C.g100,Congo DR,CAF
QG0031-C,QG0031-C.g153,Congo DR,CAF
QG0038-C,QG0038-C.g325,Congo DR,CAF
QG0039-C,QG0039-C.g4258,Congo DR,CAF
QG0041-C,QG0041-C.g4165,Congo DR,CAF
QG0046-C,QG0046-C.g8552,Congo DR,CAF
QG0047-C,QG0047-C.g450,Congo DR,CAF
QG0051-C,QG0051-C.g520,Congo DR,CAF
QG0053-C,QG0053-C.g1006,Congo DR,CAF
QG0056-C,QG0056-C.g164,Congo DR,CAF
QG0059-C,QG0059-C.g3585,Congo DR,CAF
QG0060-C,QG0060-C.g2673,Congo DR,CAF
QG0061-C,QG0061-C.g1703,Congo DR,CAF
QG0062-C,QG0062-C.g438,Congo DR,CAF
QG0064-C,QG0064-C.g2751,Congo DR,CAF
QG0067-C,QG0067-C.g330,Congo DR,CAF
QG0069-C,QG0069-C.g3863,Congo DR,CAF
QG0075-C,QG0075-C.g2575,Congo DR,CAF
QG0076-C,QG0076-C.g734,Congo DR,CAF
QG0083-C,QG0083-C.g690,Congo DR,CAF
QG0086-C,QG0086-C.g455,Congo DR,CAF
QG0106-C,QG0106-C.g428,Congo DR,CAF
QG0111-C,QG0111-C.g3019,Congo DR,CAF
QG0116-C,QG0116-C.g599,Congo DR,CAF
QG0121-C,QG0121-C.g3794,Congo DR,CAF
QG0125-C,QG0125-C.g3468,Congo DR,CAF
QG0134-C,QG0134-C.g51,Congo DR,CAF
QG0135-C,QG0135-C.g97,Congo DR,CAF
QG0138-C,QG0138-C.g1560,Congo DR,CAF
QG0139-C,QG0139-C.g3845,Congo DR,CAF
QG0145-C,QG0145-C.g217,Congo DR,CAF
QG0146-C,QG0146-C.g12,Congo DR,CAF
QG0153-C,QG0153-C.g4321,Congo DR,CAF
QG0154-C,QG0154-C.g3419,Congo DR,CAF
QG0154-C,QG0154-C.g3511,Congo DR,CAF
QG0155-C,QG0155-C.g2378,Congo DR,CAF
QG0155-C,QG0155-C.g4581,Congo DR,CAF
QG0156-C,QG0156-C.g7465,Congo DR,CAF
QG0157-C,QG0157-C.g2280,Congo DR,CAF
QG0159-C,QG0159-C.g2267,Congo DR,CAF
QG0161-C,QG0161-C.g1037,Congo DR,CAF
QG0162-C,QG0162-C.g258,Congo DR,CAF
QG0164-C,QG0164-C.g258,Congo DR,CAF
QG0167-C,QG0167-C.g103,Congo DR,CAF
QG0169-C,QG0169-C.g4452,Congo DR,CAF
QG0172-C,QG0172-C.g498,Congo DR,CAF
QG0172-C,QG0172-C.g510,Congo DR,CAF
QG0179-C,QG0179-C.g83,Congo DR,CAF
QG0183-C,QG0183-C.g426,Congo DR,CAF
QG0184-C,QG0184-C.g957,Congo DR,CAF
QG0186-C,QG0186-C.g541,Congo DR,CAF
QG0188-C,QG0188-C.g1551,Congo DR,CAF
QG0190-C,QG0190-C.g57,Congo DR,CAF
QG0195-C,QG0195-C.g42,Congo DR,CAF
QG0200-C,QG0200-C.g103,Congo DR,CAF
QG0201-C,QG0201-C.g114,Congo DR,CAF
QG0202-C,QG0202-C.g1113,Congo DR,CAF
QG0205-C,QG0205-C.g138,Congo DR,CAF
QG0208-C,QG0208-C.g1155,Congo DR,CAF
QG0209-C,QG0209-C.g178,Congo DR,CAF
QG0212-C,QG0212-C.g1028,Congo DR,CAF
QG0213-C,QG0213-C.g703,Congo DR,CAF
QG0216-C,QG0216-C.g324,Congo DR,CAF
QG0217-C,QG0217-C.g2672,Congo DR,CAF
QG0217-C,QG0217-C.g2908,Congo DR,CAF
QG0236-C,QG0236-C.g2305,Congo DR,CAF
QG0243-C,QG0243-C.g1061,Congo DR,CAF
QG0243-C,QG0243-C.g1764,Congo DR,CAF
QG0246-C,QG0246-C.g2420,Congo DR,CAF
QG0246-C,QG0246-C.g2436,Congo DR,CAF
QG0247-C,QG0247-C.g1992,Congo DR,CAF
QG0249-C,QG0249-C.g418,Congo DR,CAF
QG0250-C,QG0250-C.g603,Congo DR,CAF
QG0252-C,QG0252-C.g2509,Congo DR,CAF
QG0252-C,QG0252-C.g3102,Congo DR,CAF
QG0253-C,QG0253-C.g2173,Congo DR,CAF
QG0255-C,QG0255-C.g4937,Congo DR,CAF
QG0256-C,QG0256-C.g2759,Congo DR,CAF
QG0258-C,QG0258-C.g1158,Congo DR,CAF
QG0259-C,QG0259-C.g144,Congo DR,CAF
QG0259-C,QG0259-C.g274,Congo DR,CAF
QG0271-C,QG0271-C.g247,Congo DR,CAF
QG0273-C,QG0273-C.g343,Congo DR,CAF
QG0275-C,QG0275-C.g1098,Congo DR,CAF
QG0276-C,QG0276-C.g150,Congo DR,CAF
QG0281-C,QG0281-C.g913,Congo DR,CAF
QG0282-C,QG0282-C.g1347,Congo DR,CAF
QG0286-C,QG0286-C.g2923,Congo DR,CAF
QG0287-C,QG0287-C.g6820,Congo DR,CAF
QG0291-C,QG0291-C.g1829,Congo DR,CAF
QG0296-C,QG0296-C.g2732,Congo DR,CAF
QG0296-C,QG0296-C.g3159,Congo DR,CAF
QJ0002-C,QJ0002-C.g1324,Nigeria,WAF
QM0005-C,QM0005-C.g384,Madagascar,EAF
QM0005-C,QM0005-C.g400,Madagascar,EAF
QM0005-C,QM0005-C.g418,Madagascar,EAF
QM0006-C,QM0006-C.g137,Madagascar,EAF
QM0007-C,QM0007-C.g277,Madagascar,EAF
QM0008-C,QM0008-C.g351,Madagascar,EAF
QM0009-C,QM0009-C.g154,Madagascar,EAF
QM0011-C,QM0011-C.g307,Madagascar,EAF
QM0012-C,QM0012-C.g237,Madagascar,EAF
QM0013-C,QM0013-C.g242,Madagascar,EAF
QM0020-C,QM0020-C.g675,Madagascar,EAF
QM0020-C,QM0020-C.g837,Madagascar,EAF
QM0027-C,QM0027-C.g258,Madagascar,EAF
QM0030-C,QM0030-C.g360,Madagascar,EAF
QM0030-C,QM0030-C.g388,Madagascar,EAF
QM0035-C,QM0035-C.g649,Madagascar,EAF
QP0001-C,QP0001-C.g193,Cameroon,WAF
QP0002-C,QP0002-C.g4628,Cameroon,WAF
QP0003-C,QP0003-C.g729,Cameroon,WAF
QP0012-C,QP0012-C.g105,Cameroon,WAF
QP0017-C,QP0017-C.g146,Cameroon,WAF
QP0017-C,QP0017-C.g230,Cameroon,WAF
QP0019-C,QP0019-C.g199,Cameroon,WAF
QP0022-C,QP0022-C.g743,Cameroon,WAF
QP0028-C,QP0028-C.g340,Cameroon,WAF
QP0028-C,QP0028-C.g376,Cameroon,WAF
QP0031-C,QP0031-C.g764,Cameroon,WAF
QP0034-C,QP0034-C.g330,Cameroon,WAF
QP0038-C,QP0038-C.g186,Cameroon,WAF
QP0040-C,QP0040-C.g417,Cameroon,WAF
QP0042-C,QP0042-C.g53,Cameroon,WAF
QP0043-C,QP0043-C.g124,Cameroon,WAF
QP0047-C,QP0047-C.g420,Cameroon,WAF
QP0055-C,QP0055-C.g757,Cameroon,WAF
QP0057-C,QP0057-C.g304,Cameroon,WAF
QP0061-C,QP0061-C.g120,Cameroon,WAF
QP0061-C,QP0061-C.g132,Cameroon,WAF
QP0068-C,QP0068-C.g81,Cameroon,WAF
QP0069-C,QP0069-C.g131,Cameroon,WAF
QP0071-C,QP0071-C.g111,Cameroon,WAF
QP0073-C,QP0073-C.g243,Cameroon,WAF
QP0076-C,QP0076-C.g66,Cameroon,WAF
QP0080-C,QP0080-C.g329,Cameroon,WAF
QP0091-C,QP0091-C.g13780,Cameroon,WAF
QP0094-C,QP0094-C.g8284,Cameroon,WAF
QP0094-C,QP0094-C.g8417,Cameroon,WAF
QP0094-C,QP0094-C.g9325,Cameroon,WAF
QP0099-C,QP0099-C.g193,Cameroon,WAF
QP0103-C,QP0103-C.g94,Cameroon,WAF
QP0108-C,QP0108-C.g702,Cameroon,WAF
QP0110-C,QP0110-C.g203,Cameroon,WAF
QP0111-C,QP0111-C.g892,Cameroon,WAF
QP0113-C,QP0113-C.g177,Cameroon,WAF
QP0114-C,QP0114-C.g72,Cameroon,WAF
QP0115-C,QP0115-C.g46,Cameroon,WAF
QP0118-C,QP0118-C.g177,Cameroon,WAF
QP0123-C,QP0123-C.g217,Cameroon,WAF
QP0124-C,QP0124-C.g24,Cameroon,WAF
QP0125-C,QP0125-C.g651,Cameroon,WAF
QP0128-C,QP0128-C.g41,Cameroon,WAF
QP0131-C,QP0131-C.g472,Cameroon,WAF
QP0153-C,QP0153-C.g2663,Cameroon,WAF
QP0156-C,QP0156-C.g441,Cameroon,WAF
QP0158-C,QP0158-C.g3823,Cameroon,WAF
QP0168-C,QP0168-C.g236,Cameroon,WAF
QP0170-C,QP0170-C.g457,Cameroon,WAF
QP0174-C,QP0174-C.g79,Cameroon,WAF
QP0178-C,QP0178-C.g312,Cameroon,WAF
QP0186-C,QP0186-C.g19436,Cameroon,WAF
QP0195-C,QP0195-C.g72,Cameroon,WAF
QP0196-C,QP0196-C.g1617,Cameroon,WAF
QP0199-C,QP0199-C.g2257,Cameroon,WAF
QP0212-C,QP0212-C.g5366,Cameroon,WAF
QP0226-C,QP0226-C.g225,Cameroon,WAF
QP0231-C,QP0231-C.g131,Cameroon,WAF
QP0238-C,QP0238-C.g351,Cameroon,WAF
QP0241-C,QP0241-C.g422,Cameroon,WAF
QP0241-C,QP0241-C.g460,Cameroon,WAF
QP0243-C,QP0243-C.g287,Cameroon,WAF
SenP051.02,SenP051.02.g44,Senegal,WAF
SenT001.11,SenT001.11.g1610,Senegal,WAF
SenT002.07,SenT002.07.g1926,Senegal,WAF
SenT013.11,SenT013.11.g811,Senegal,WAF
SenT015.11,SenT015.11.g821,Senegal,WAF
SenT022.11,SenT022.11.g763,Senegal,WAF
SenT045.11,SenT045.11.g358,Senegal,WAF
SenT052.11,SenT052.11.g170,Senegal,WAF
SenT053.11,SenT053.11.g521,Senegal,WAF
SenT055.11,SenT055.11.g507,Senegal,WAF
SenT058.11,SenT058.11.g23,Senegal,WAF
SenT072.11,SenT072.11.g789,Senegal,WAF
SenT077.11,SenT077.11.g109,Senegal,WAF
SenT077.11,SenT077.11.g122,Senegal,WAF
SenT092.08,SenT092.08.g2190,Senegal,WAF
SenT105.07,SenT105.07.g387,Senegal,WAF
SenT113.09,SenT113.09.g112,Senegal,WAF
SenT113.09,SenT113.09.g19,Senegal,WAF
SenT120.11,SenT120.11.g794,Senegal,WAF
SenT129.11,SenT129.11.g1161,Senegal,WAF
SenT130.09,SenT130.09.g383,Senegal,WAF
SenT133.11,SenT133.11.g950,Senegal,WAF
SenT136.09,SenT136.09.g1103,Senegal,WAF
SenT139.11,SenT139.11.g775,Senegal,WAF
SenT142.11,SenT142.11.g817,Senegal,WAF
SenT151.08,SenT151.08.g523,Senegal,WAF
SenT165.09,SenT165.09.g650,Senegal,WAF
SenT184.09,SenT184.09.g329,Senegal,WAF
SenT187.09,SenT187.09.g216,Senegal,WAF
SenT230.08,SenT230.08.g702,Senegal,WAF
SenT231.08,SenT231.08.g419,Senegal,WAF
SenT232.08,SenT232.08.g426,Senegal,WAF
SenT233.08,SenT233.08.g1006,Senegal,WAF
SenV042.05,SenV042.05.g45,Senegal,WAF
SenV092.05,SenV092.05.g41,Senegal,WAF
