,sequence_id,mds_3d,mds_3d_x,mds_3d_y,mds_3d_z
5,9106.g5,"[-976.5934938856486, -501.29963779528015, -428.5475366037901]",-976.5934938856486,-501.29963779528015,-428.5475366037901
6,9215.g14,"[-515.6885963166247, -596.5826328258017, -686.4103996488276]",-515.6885963166247,-596.5826328258017,-686.4103996488276
14,GN01-130079200,"[-254.92707027762134, 1160.7250634480365, 593.5571845059931]",-254.92707027762134,1160.7250634480365,593.5571845059931
18,KE01-030005200,"[-976.5341343173797, -500.401592034712, -428.85891583273343]",-976.5341343173797,-500.401592034712,-428.85891583273343
38,PA0034-C.g440,"[295.5954128606785, 5.282641962989241, 1002.754517940857]",295.5954128606785,5.282641962989241,1002.754517940857
44,PA0040-C.g573,"[-96.6137631252225, 132.5397194183219, 1558.271736757886]",-96.6137631252225,132.5397194183219,1558.271736757886
51,PA0049-C.g140,"[760.9655131854742, -483.5431344139605, -681.2854249116482]",760.9655131854742,-483.5431344139605,-681.2854249116482
61,PA0061-C.g509,"[-545.3435919949965, 186.9202414375996, -645.8609690263384]",-545.3435919949965,186.9202414375996,-645.8609690263384
64,PA0072-C.g73,"[-530.4467024418682, 186.79547817422784, -610.6232770510909]",-530.4467024418682,186.79547817422784,-610.6232770510909
65,PA0079-C.g240,"[737.0369022455887, -463.2210034270204, -622.6995214558473]",737.0369022455887,-463.2210034270204,-622.6995214558473
73,PA0100-C.g514,"[1212.2381523567915, -907.3159166470112, 91.91042359438113]",1212.2381523567915,-907.3159166470112,91.91042359438113
77,PA0102-C.g99,"[490.65617375683615, -682.6397437169344, 528.912025093969]",490.65617375683615,-682.6397437169344,528.912025093969
92,PA0151-C.g93,"[726.0797764383332, 121.70078678349815, -284.0526408891478]",726.0797764383332,121.70078678349815,-284.0526408891478
113,PA0183-C.g105,"[305.0679637340716, -1022.6433203536565, -4.116631971169251]",305.0679637340716,-1022.6433203536565,-4.116631971169251
116,PA0184-C.g658,"[-923.1450989384983, -462.3333034626537, 401.64169968573174]",-923.1450989384983,-462.3333034626537,401.64169968573174
118,PA0186-C.g24,"[269.8546176646196, -957.4172398123368, -232.5341518238794]",269.8546176646196,-957.4172398123368,-232.5341518238794
123,PA0189-C.g303,"[-893.0038714298776, 23.709151542077283, 386.341382296722]",-893.0038714298776,23.709151542077283,386.341382296722
148,PA0217-C.g1229,"[-534.9657281411626, -949.7996054430464, 115.50267810474594]",-534.9657281411626,-949.7996054430464,115.50267810474594
151,PA0221-C.g124,"[255.0561630680074, -846.3576544970083, -671.6167899953518]",255.0561630680074,-846.3576544970083,-671.6167899953518
153,PA0223-C.g20,"[163.71689105052548, 469.897024436598, 849.268761577709]",163.71689105052548,469.897024436598,849.268761577709
161,PA0245-C.g139,"[876.1099715839003, 99.62273163838874, -582.8761765950126]",876.1099715839003,99.62273163838874,-582.8761765950126
171,PA0260-C.g904,"[763.1326910610334, -227.58520604909367, 1317.9757411506191]",763.1326910610334,-227.58520604909367,1317.9757411506191
183,PC0053-C.g111,"[673.1746026108192, 946.9057169573751, 46.53245561668177]",673.1746026108192,946.9057169573751,46.53245561668177
185,PC0061-C.g1114,"[112.45275463899073, -959.3151778674332, 496.4830559779576]",112.45275463899073,-959.3151778674332,496.4830559779576
190,PC0069-C.g292,"[-941.127255762189, -794.1731222151947, -113.79220211132386]",-941.127255762189,-794.1731222151947,-113.79220211132386
193,PC0070-C.g218,"[-658.8834835290743, -439.1155899585518, -701.4525368787939]",-658.8834835290743,-439.1155899585518,-701.4525368787939
204,PC0113-C.g1115,"[948.2599683951294, 421.6013314506111, 1182.6973034630041]",948.2599683951294,421.6013314506111,1182.6973034630041
231,PD0484-C.g533,"[-832.7448701494677, 599.9183079911357, 377.79882776753226]",-832.7448701494677,599.9183079911357,377.79882776753226
235,PD0485-C.g677,"[-840.9551109876512, 597.743424156756, 383.82203026831627]",-840.9551109876512,597.743424156756,383.82203026831627
261,PD0514-C.g276,"[-832.744870149468, 599.9183079911353, 377.79882776753243]",-832.744870149468,599.9183079911353,377.79882776753243
267,PD0519-C.g541,"[-832.744870149468, 599.9183079911353, 377.79882776753243]",-832.744870149468,599.9183079911353,377.79882776753243
287,PD0540-C.g403,"[-840.9551109876518, 597.7434241567563, 383.8220302683162]",-840.9551109876518,597.7434241567563,383.8220302683162
289,PD0545-C.g211,"[-832.7448701494682, 599.9183079911354, 377.7988277675325]",-832.7448701494682,599.9183079911354,377.7988277675325
385,PE0089-C.g974,"[375.4386541133129, -7.6713272361273965, 927.6391769930168]",375.4386541133129,-7.6713272361273965,927.6391769930168
399,PE0125-C.g708,"[1140.6278836087274, -73.33200820991158, 916.0346128683235]",1140.6278836087274,-73.33200820991158,916.0346128683235
404,PE0131-C.g622,"[147.8985326172462, 1367.9359237077354, -76.08925699544201]",147.8985326172462,1367.9359237077354,-76.08925699544201
409,PE0134-C.g218,"[95.49931954654447, 1326.9580839776534, 381.9971957873261]",95.49931954654447,1326.9580839776534,381.9971957873261
428,PE0147-C.g655,"[530.8504400818414, 440.6120453040451, 445.8904069166757]",530.8504400818414,440.6120453040451,445.8904069166757
429,PE0148-C.g931,"[1003.3917815266191, 446.2906742083837, 117.66364751318244]",1003.3917815266191,446.2906742083837,117.66364751318244
437,PF0021-C.g360,"[-1119.0025898971567, -44.26928681557406, -64.79638765153207]",-1119.0025898971567,-44.26928681557406,-64.79638765153207
445,PF0027-C.g201,"[-576.1582923342672, -895.3863490772853, 267.84808929320957]",-576.1582923342672,-895.3863490772853,267.84808929320957
476,PF0092-C.g756,"[1534.687177359299, 304.4314507418657, 710.1541285505966]",1534.687177359299,304.4314507418657,710.1541285505966
493,PF0115-C.g530,"[740.6430814172782, -158.3775898931581, -719.0900686518407]",740.6430814172782,-158.3775898931581,-719.0900686518407
529,PF0157-C.g853,"[492.10010799840535, -794.7941483817996, -669.9490705848119]",492.10010799840535,-794.7941483817996,-669.9490705848119
538,PF0167-C.g130,"[580.7937714398217, -714.2128688618773, -334.40633800623976]",580.7937714398217,-714.2128688618773,-334.40633800623976
573,PF0225-C.g473,"[503.49216142543037, 587.0461265579974, 675.322293381432]",503.49216142543037,587.0461265579974,675.322293381432
578,PF0232-C.g60,"[326.38840930766594, 1372.0081762082666, -318.5533630220809]",326.38840930766594,1372.0081762082666,-318.5533630220809
583,PF0240-C.g27,"[545.5186680376645, 306.039745505727, -862.7172616017846]",545.5186680376645,306.039745505727,-862.7172616017846
597,PF0272-C.g575,"[549.1824940605777, -820.691553667742, 140.91589559660727]",549.1824940605777,-820.691553667742,140.91589559660727
600,PF0276-C.g296,"[388.43040911376477, 74.64838906964195, -1004.3231791786388]",388.43040911376477,74.64838906964195,-1004.3231791786388
611,PF0290-C.g194,"[-144.8731998120724, 709.1165828051259, 691.7887620148806]",-144.8731998120724,709.1165828051259,691.7887620148806
625,PF0308-C.g74,"[238.41273830934216, -996.6527707409533, -523.9367514868882]",238.41273830934216,-996.6527707409533,-523.9367514868882
630,PF0314-C.g1155,"[142.49724177295155, -193.5395358197596, 975.6461886483996]",142.49724177295155,-193.5395358197596,975.6461886483996
645,PF0347-C.g455,"[-400.67136841322747, 30.714578306965734, -1089.7642818367078]",-400.67136841322747,30.714578306965734,-1089.7642818367078
652,PF0357-C.g623,"[483.1417418362668, -660.7625138126348, -295.9215330810193]",483.1417418362668,-660.7625138126348,-295.9215330810193
688,PF0409-C.g94,"[578.010406087347, 13.180899492555548, -505.3509429842787]",578.010406087347,13.180899492555548,-505.3509429842787
689,PF0410-CW.g34,"[-576.4939431123199, -895.3813724834837, 268.05827005822033]",-576.4939431123199,-895.3813724834837,268.05827005822033
692,PF0413-C.g478,"[538.9101974762401, 798.5182952238201, 538.0859147776858]",538.9101974762401,798.5182952238201,538.0859147776858
710,PF0440-C.g316,"[-826.96137253433, -620.6333235637275, -407.84789913158085]",-826.96137253433,-620.6333235637275,-407.84789913158085
732,PF0473-C.g29,"[-19.471002738752947, -1125.8774689091858, 439.63100883708637]",-19.471002738752947,-1125.8774689091858,439.63100883708637
740,PF0492-C.g288,"[-226.74638703783543, 433.7507672699507, -1240.979472813526]",-226.74638703783543,433.7507672699507,-1240.979472813526
752,PF0512-C.g79,"[509.7977793917825, -268.51934605986634, -806.1375407270003]",509.7977793917825,-268.51934605986634,-806.1375407270003
753,PF0513-C.g1832,"[647.9755392115636, -982.5067864446984, 1011.84746020117]",647.9755392115636,-982.5067864446984,1011.84746020117
758,PF0515-C.g283,"[-261.9216200996825, 47.383312158201754, -1138.7648810493124]",-261.9216200996825,47.383312158201754,-1138.7648810493124
761,PF0518-C.g465,"[-848.2682912030328, -844.1653468188604, 587.7852078667905]",-848.2682912030328,-844.1653468188604,587.7852078667905
764,PF0519-C.g97,"[544.541212966649, 306.7440321606322, -859.7926496268414]",544.541212966649,306.7440321606322,-859.7926496268414
769,PF0531-C.g114,"[-88.91578320609317, -964.5500746913652, 460.71354276914406]",-88.91578320609317,-964.5500746913652,460.71354276914406
773,PF0556-C.g2254,"[-972.7911354523258, 17.58826962058029, 726.9624048481162]",-972.7911354523258,17.58826962058029,726.9624048481162
783,PF0596-C.g2366,"[163.27156119343115, -552.1089595466797, 796.3218567473247]",163.27156119343115,-552.1089595466797,796.3218567473247
790,PF0617-C.g910,"[-96.61376337280568, 132.53971893632757, 1558.271736784692]",-96.61376337280568,132.53971893632757,1558.271736784692
793,PF0625-C.g875,"[1275.829714282905, -737.7398142418283, -255.14142656064126]",1275.829714282905,-737.7398142418283,-255.14142656064126
798,PF0634-C.g413,"[-1226.5060730749399, -244.60853211855147, -344.91251059251084]",-1226.5060730749399,-244.60853211855147,-344.91251059251084
804,PF0650-C.g1351,"[-227.46478862985262, -779.3460031562709, 818.7062345960942]",-227.46478862985262,-779.3460031562709,818.7062345960942
831,PF0731-C.g327,"[388.69352934153534, -537.124863274638, -649.238511373759]",388.69352934153534,-537.124863274638,-649.238511373759
836,PF0747-C.g254,"[-717.1174896732763, -483.293654765926, -917.4101064917951]",-717.1174896732763,-483.293654765926,-917.4101064917951
839,PF0748-C.g80,"[305.58251331378005, -58.73268706883097, -1019.0997119577548]",305.58251331378005,-58.73268706883097,-1019.0997119577548
862,PF0767-C.g3310,"[-718.2541047832259, -892.9885177817796, 122.78637868330611]",-718.2541047832259,-892.9885177817796,122.78637868330611
893,PF0811-C.g44,"[973.7232553350981, 399.1609225012731, -102.40435820293716]",973.7232553350981,399.1609225012731,-102.40435820293716
897,PF0814-C.g1512,"[725.9086265404407, -1213.1268438168954, 764.8499138950227]",725.9086265404407,-1213.1268438168954,764.8499138950227
903,PF0817-C.g840,"[1397.7949485061094, -116.73633738231327, -511.35520064621926]",1397.7949485061094,-116.73633738231327,-511.35520064621926
913,PF0823-C.g2696,"[-24.57981374564274, 1272.2467449442486, -647.591687835001]",-24.57981374564274,1272.2467449442486,-647.591687835001
1009,PH0332-C.g80,"[633.8317254084177, -474.8252995772862, -53.067191508513936]",633.8317254084177,-474.8252995772862,-53.067191508513936
1021,PH0342-C.g107,"[-558.853208713149, 1225.5921654426336, -122.29027102403305]",-558.853208713149,1225.5921654426336,-122.29027102403305
1022,PH0343-C.g343,"[-1218.3654925736294, 605.3220823610986, -293.1748213273198]",-1218.3654925736294,605.3220823610986,-293.1748213273198
1023,PH0344-C.g338,"[-1217.139233061747, 604.7420473747322, -292.94409793002535]",-1217.139233061747,604.7420473747322,-292.94409793002535
1031,PH0349-C.g334,"[-1217.139233061747, 604.7420473747322, -292.94409793002535]",-1217.139233061747,604.7420473747322,-292.94409793002535
1035,PH0354-C.g311,"[-1218.3654925736298, 605.3220823610994, -293.1748213273198]",-1218.3654925736298,605.3220823610994,-293.1748213273198
1040,PH0363-C.g102,"[-363.79203112468014, 157.3809350614338, 804.0871264029789]",-363.79203112468014,157.3809350614338,804.0871264029789
1155,PH0599-C.g152,"[-531.4598860364224, 730.239870126752, -849.6364548136727]",-531.4598860364224,730.239870126752,-849.6364548136727
1157,PH0600-C.g113,"[-531.4598860364225, 730.239870126752, -849.6364548136727]",-531.4598860364225,730.239870126752,-849.6364548136727
1174,PH0633-C.g154,"[-441.67066880140976, 1342.9505548878633, 169.83765111875888]",-441.67066880140976,1342.9505548878633,169.83765111875888
1184,PH0641-C.g240,"[-363.79203112467803, 157.38093506144426, 804.0871264029764]",-363.79203112467803,157.38093506144426,804.0871264029764
1206,PH0698-C.g203,"[-655.7553549344665, -631.7500755937733, -805.894126223519]",-655.7553549344665,-631.7500755937733,-805.894126223519
1215,PH0736-C.g309,"[-531.4598860364221, 730.2398701267515, -849.636454813672]",-531.4598860364221,730.2398701267515,-849.636454813672
1235,PH0789-C.g329,"[-1276.8419009371808, 176.6149850084292, -688.615827899387]",-1276.8419009371808,176.6149850084292,-688.615827899387
1239,PH0794-C.g1632,"[-1276.239350272595, 156.56463363401053, -684.3312626136521]",-1276.239350272595,156.56463363401053,-684.3312626136521
1240,PH0797-C.g459,"[-1276.8419009371808, 176.6149850084293, -688.6158278993872]",-1276.8419009371808,176.6149850084293,-688.6158278993872
1244,PH0802-C.g209,"[-113.83626805097659, 997.2316912781164, -977.3812919179867]",-113.83626805097659,997.2316912781164,-977.3812919179867
1273,PH0851-C.g502,"[-1471.9102057929879, -161.08217651241924, -263.0698140190102]",-1471.9102057929879,-161.08217651241924,-263.0698140190102
1282,PH0875-C.g793,"[-317.0672980780805, 1320.2298676448106, 203.27318457662653]",-317.0672980780805,1320.2298676448106,203.27318457662653
1285,PH0877-C.g337,"[-465.6915037957046, -521.504661600315, -788.8193257597131]",-465.6915037957046,-521.504661600315,-788.8193257597131
1288,PH0878-C.g400,"[-464.5993454152058, -521.9734046187518, -788.5823041506221]",-464.5993454152058,-521.9734046187518,-788.5823041506221
1335,PH1137-C.g3346,"[633.8317254084184, -474.82529957728616, -53.067191508513936]",633.8317254084184,-474.82529957728616,-53.067191508513936
1351,PH1304-C.g527,"[633.4170738992927, -1323.2582943592315, -435.5761504403109]",633.4170738992927,-1323.2582943592315,-435.5761504403109
1352,PH1304-C.g959,"[-771.0992976727206, 749.0855823457103, -608.8052726181953]",-771.0992976727206,749.0855823457103,-608.8052726181953
1372,PM0024-C.g39,"[-1275.0911413547192, 293.80502740136507, 357.92548729047036]",-1275.0911413547192,293.80502740136507,357.92548729047036
1386,PM0063-C.g722,"[299.26089462234836, -878.5924979778699, 27.423783143727306]",299.26089462234836,-878.5924979778699,27.423783143727306
1398,PM0097-C.g1157,"[-360.17417946077853, 846.9838929061191, -429.5235686462331]",-360.17417946077853,846.9838929061191,-429.5235686462331
1406,PM0123-C.g206,"[-534.6684331454233, -781.461818413435, -357.06542030205605]",-534.6684331454233,-781.461818413435,-357.06542030205605
1415,PM0146-C.g92,"[-485.91240357599474, 334.80612173612684, -1101.33597086813]",-485.91240357599474,334.80612173612684,-1101.33597086813
1420,PM0156-C.g434,"[1440.625685682592, -261.03501605165803, -160.8123848374059]",1440.625685682592,-261.03501605165803,-160.8123848374059
1478,PR0155-C.g1005,"[600.1811567805139, -46.03072391742615, -268.72521819485644]",600.1811567805139,-46.03072391742615,-268.72521819485644
1523,PT0055-C.g291,"[815.8479418144666, 665.5700612346176, -135.29024909851978]",815.8479418144666,665.5700612346176,-135.29024909851978
1539,PT0073-C.g999,"[642.5105606483806, 616.9043497354567, 537.6244971255571]",642.5105606483806,616.9043497354567,537.6244971255571
1543,PT0079-C.g264,"[356.64035646057255, -457.259576996418, -542.3689791025349]",356.64035646057255,-457.259576996418,-542.3689791025349
1547,PT0084-C.g789,"[374.58984159696234, 1204.741143785819, -475.97697119155765]",374.58984159696234,1204.741143785819,-475.97697119155765
1567,PT0104-C.g389,"[-651.948160186592, -985.1874411576898, -0.07840324791754409]",-651.948160186592,-985.1874411576898,-0.07840324791754409
1574,PT0117-C.g1241,"[1319.8855358477176, -676.2097822919673, 345.17665027730857]",1319.8855358477176,-676.2097822919673,345.17665027730857
1582,PT0129-C.g855,"[585.8965601284885, -109.32944352117691, -806.014350040766]",585.8965601284885,-109.32944352117691,-806.014350040766
1589,PT0141-C.g1211,"[1120.993564717823, -1030.9125710847957, -156.76984171832498]",1120.993564717823,-1030.9125710847957,-156.76984171832498
1611,PT0175-C.g1717,"[626.4455727638222, -307.3682172224083, 1362.3560806293485]",626.4455727638222,-307.3682172224083,1362.3560806293485
1616,PT0181-C.g1444,"[1122.210182821186, 1352.979989945166, -468.76766204727267]",1122.210182821186,1352.979989945166,-468.76766204727267
1617,PT0181-C.g1754,"[-505.7677823750037, 598.9615352613735, 120.4849955567448]",-505.7677823750037,598.9615352613735,120.4849955567448
1620,PT0184-C.g4299,"[1220.3045507127968, -597.1723426108846, -541.3709009458757]",1220.3045507127968,-597.1723426108846,-541.3709009458757
1621,PT0187-C.g365,"[1061.279259238098, 638.8774490006272, 319.4679447674773]",1061.279259238098,638.8774490006272,319.4679447674773
1631,PT0199-C.g151,"[1572.2605338982685, -257.71422312765196, 45.23998597442042]",1572.2605338982685,-257.71422312765196,45.23998597442042
1664,PT0226-Cx.g344,"[-693.8319330904726, -534.2882392847831, -734.161594661913]",-693.8319330904726,-534.2882392847831,-734.161594661913
1667,PT0230-Cx.g314,"[-1161.4078537521452, -595.2793092186787, -57.000229442590594]",-1161.4078537521452,-595.2793092186787,-57.000229442590594
1680,PT0248-Cx.g194,"[-237.98856109674995, -930.6688796800379, 887.4146022656215]",-237.98856109674995,-930.6688796800379,887.4146022656215
1681,PT0248-Cx.g333,"[-672.6852335870473, 458.0622344776057, -967.2268261834622]",-672.6852335870473,458.0622344776057,-967.2268261834622
1682,PT0248-Cx.g828,"[938.4483479773604, 670.589139875526, 1003.55504459455]",938.4483479773604,670.589139875526,1003.55504459455
1690,PT0261-Cx.g1127,"[-2.5680858800561936, 1363.8706003379618, -216.65289468279897]",-2.5680858800561936,1363.8706003379618,-216.65289468279897
1723,PV0014-C.g17,"[831.2381783600233, -117.16760860029231, -22.48410522664125]",831.2381783600233,-117.16760860029231,-22.48410522664125
1726,PV0015-C.g293,"[-345.3936624773776, -29.380742462661797, 981.237487539894]",-345.3936624773776,-29.380742462661797,981.237487539894
1738,PV0046-C.g51,"[-91.77096128607039, 266.8941734755154, 732.3942818414184]",-91.77096128607039,266.8941734755154,732.3942818414184
1756,PV0127-C.g11,"[236.99839247211173, 636.7147086680533, 670.1080005028991]",236.99839247211173,636.7147086680533,670.1080005028991
1764,PV0139-C.g39,"[620.1420873411739, -475.80919672074276, -57.33689819568253]",620.1420873411739,-475.80919672074276,-57.33689819568253
1769,PV0212-C.g7,"[794.7603063561386, 315.3978780827775, -470.7498982931244]",794.7603063561386,315.3978780827775,-470.7498982931244
1819,PV0295-C.g7,"[749.5249803931353, -306.53232334021527, 466.90285090538043]",749.5249803931353,-306.53232334021527,466.90285090538043
1854,QC0173-C.g690,"[847.1895737526274, -179.53284265090278, -416.1708292947475]",847.1895737526274,-179.53284265090278,-416.1708292947475
1855,QC0175-C.g713,"[847.1895737526273, -179.53284265090295, -416.17082929474816]",847.1895737526273,-179.53284265090295,-416.17082929474816
1862,QC0186-C.g190,"[63.27744498031328, -813.1501591104363, -183.85446361633518]",63.27744498031328,-813.1501591104363,-183.85446361633518
1891,QE0392-C.g203,"[236.9983924721117, 636.7147086680535, 670.1080005029002]",236.9983924721117,636.7147086680535,670.1080005029002
1928,QE0432-C.g32,"[669.9572460462675, -231.7088980057538, 77.22445809893165]",669.9572460462675,-231.7088980057538,77.22445809893165
1943,QE0446-C.g609,"[329.8057066749822, -437.6350752074279, -804.0053651984667]",329.8057066749822,-437.6350752074279,-804.0053651984667
1945,QE0451-C.g210,"[512.7744660191249, -527.2064025521148, -823.2953828650633]",512.7744660191249,-527.2064025521148,-823.2953828650633
1952,QE0456-C.g331,"[-336.85395890603576, -835.0880893746099, -500.2754960398819]",-336.85395890603576,-835.0880893746099,-500.2754960398819
1962,QE0469-C.g385,"[260.36193490824945, 382.2622120072291, 605.7287702654943]",260.36193490824945,382.2622120072291,605.7287702654943
1982,QG0017-C.g69,"[-401.4330731815512, -658.6906054915054, 947.5200876628252]",-401.4330731815512,-658.6906054915054,947.5200876628252
2060,QG0128-C.g451,"[-708.8549490962383, 581.3014666816604, -73.91286367003589]",-708.8549490962383,581.3014666816604,-73.91286367003589
2072,QG0157-C.g1999,"[223.739150645587, -427.34494423832246, 1533.1701851492182]",223.739150645587,-427.34494423832246,1533.1701851492182
2105,QG0195-C.g20,"[-286.0826279498641, 498.9548732294562, 1043.55844748587]",-286.0826279498641,498.9548732294562,1043.55844748587
2121,QG0207-C.g1268,"[192.5780104631481, 1086.924893221983, -1076.0603867295229]",192.5780104631481,1086.924893221983,-1076.0603867295229
2161,QG0285-C.g7384,"[390.17128683740145, 1203.4005592273702, -487.2059677914935]",390.17128683740145,1203.4005592273702,-487.2059677914935
2164,QG0290-C.g85,"[-531.6769445430891, 312.1154270784107, 1234.0351584827902]",-531.6769445430891,312.1154270784107,1234.0351584827902
2189,QP0001-C.g1189,"[173.7379846141767, 1375.922226195915, 207.03657943938728]",173.7379846141767,1375.922226195915,207.03657943938728
2198,QP0022-C.g1100,"[-137.56424544752747, 1217.6025567644951, -510.27668251589023]",-137.56424544752747,1217.6025567644951,-510.27668251589023
2205,QP0040-C.g481,"[-141.46400035296026, -376.10000232079483, -916.2981630888944]",-141.46400035296026,-376.10000232079483,-916.2981630888944
2206,QP0040-C.g87,"[661.5060515601226, 93.24401864742231, 1405.896039523161]",661.5060515601226,93.24401864742231,1405.896039523161
2217,QP0072-C.g135,"[-1268.441253897371, -145.56649010005881, 250.62836751848184]",-1268.441253897371,-145.56649010005881,250.62836751848184
2225,QP0099-C.g1147,"[444.06853939866187, 1036.6809080595845, -875.6498644416181]",444.06853939866187,1036.6809080595845,-875.6498644416181
2235,QP0123-C.g862,"[-123.57852520702419, 695.6493810852678, 1017.8123547701506]",-123.57852520702419,695.6493810852678,1017.8123547701506
2236,QP0125-C.g461,"[429.8834503446396, -534.5228222946548, 639.5095655028623]",429.8834503446396,-534.5228222946548,639.5095655028623
2237,QP0138-C.g1538,"[-1069.3001275726322, -354.74588518057845, 164.81490464746543]",-1069.3001275726322,-354.74588518057845,164.81490464746543
2245,QP0169-C.g490,"[1489.7548990420053, -269.32705871780684, 350.98342637399105]",1489.7548990420053,-269.32705871780684,350.98342637399105
2255,QP0186-C.g1139,"[-828.1513394393287, 44.49611325072252, 537.11900393342]",-828.1513394393287,44.49611325072252,537.11900393342
2260,QP0199-C.g4006,"[-1081.0361672963604, -286.01809787938106, 639.3768724773294]",-1081.0361672963604,-286.01809787938106,639.3768724773294
2263,QP0212-C.g944,"[-107.30190508302891, -290.42545041402536, 1035.9260308613457]",-107.30190508302891,-290.42545041402536,1035.9260308613457
2265,QP0219-C.g314,"[-1081.0361672963604, -286.018097879381, 639.3768724773297]",-1081.0361672963604,-286.018097879381,639.3768724773297
2289,SenT092.08.g1310,"[-543.4730033957253, -854.3037304935715, -694.8525752605735]",-543.4730033957253,-854.3037304935715,-694.8525752605735
2301,SenT232.08.g335,"[44.20256981610413, -832.5266952794979, 650.9287423795843]",44.20256981610413,-832.5266952794979,650.9287423795843
2305,SenV092.05.g427,"[375.05691827003574, 1238.2405590277526, -197.65344931143602]",375.05691827003574,1238.2405590277526,-197.65344931143602
